round,loss,dice,dice1,dice2,dice3
160,0.2759986545267478,0.51068693,0.4862256,0.49746197,0.54837316
161,0.26694298023855134,0.5134395,0.48982438,0.501352,0.549142
162,0.27175548895398066,0.51248825,0.48727793,0.50171715,0.54846954
163,0.2735406601556255,0.5116369,0.48457086,0.50163907,0.5487007
164,0.26275489635739036,0.5157856,0.49490958,0.50340295,0.5490441
165,0.2737540844496459,0.51167053,0.48579797,0.5008016,0.54841197
166,0.2676858590166764,0.5133005,0.4872556,0.5030343,0.54961145
167,0.2669012934711904,0.513487,0.4893571,0.50279087,0.54831296
168,0.27313054880637716,0.5117345,0.4866563,0.4999805,0.5485665
169,0.2629146211087916,0.5151841,0.49563327,0.5017621,0.5481568
170,0.2689585393009661,0.51340646,0.49003252,0.5015115,0.5486753
171,0.26469841610070227,0.51458,0.49389344,0.5015617,0.5482848
172,0.27060614701267666,0.5126802,0.48759276,0.50194305,0.5485046
173,0.2677269198292091,0.5136391,0.4904422,0.5016637,0.54881126
174,0.2733089754165704,0.5118245,0.48736492,0.50101,0.54709834
175,0.27209381467506977,0.5123791,0.48757684,0.50135607,0.5482043
176,0.27282886233618253,0.51230776,0.4881512,0.50078535,0.54798675
177,0.2716848737828672,0.5123927,0.4882245,0.5002507,0.5487028
178,0.27680803596761305,0.51063824,0.48600498,0.49719074,0.54871905
179,0.276471580050594,0.51084703,0.48718336,0.49896234,0.5463953
180,0.2751047577297985,0.5110659,0.48964384,0.4961618,0.54739195
181,0.2738055436212397,0.5115822,0.48707163,0.4989638,0.54871106
182,0.2665416129543264,0.5138669,0.49238402,0.50012267,0.5490939
183,0.2679474025010214,0.513788,0.49126783,0.50209993,0.5479962
184,0.26817514718215235,0.51353604,0.48856443,0.50236845,0.54967517
185,0.2684807255598998,0.51356024,0.4898531,0.50214386,0.5486837
186,0.2638832258584236,0.5150441,0.4934296,0.50280184,0.54890084
187,0.2695608170855512,0.51308244,0.4876289,0.50282145,0.54879683
188,0.2708523358314487,0.51262724,0.48792985,0.50181484,0.54813707
189,0.2645823751904362,0.51482135,0.49182063,0.50357205,0.5490713
190,0.27293479845617163,0.5117318,0.4853712,0.50123054,0.5485936
191,0.27136747862520594,0.51232445,0.48603994,0.50202656,0.54890674
192,0.2679255373537328,0.5136229,0.49012882,0.50194305,0.54879665
193,0.26687703501711535,0.51403946,0.4907775,0.5012927,0.5500482
194,0.26772149495806985,0.513545,0.4904079,0.50133157,0.5488954
195,0.2706130681513043,0.5127172,0.49064782,0.49973917,0.54776454
196,0.2722378027396694,0.511975,0.488193,0.49959767,0.54813415
197,0.2720645027652754,0.51218903,0.48813415,0.49927637,0.54915655
198,0.27826051249622874,0.5100987,0.48431596,0.49851614,0.5474641
199,0.27301855528481916,0.5119073,0.4853004,0.50213283,0.5482885
200,0.2660643420185483,0.5143542,0.49112818,0.5026435,0.549291
